updatedAt,log_return
2021-07-13,
2021-07-14,
2021-07-15,
2021-07-16,
2021-07-17,
2021-07-18,
2021-07-19,
2021-07-20,
2021-07-21,
2021-07-22,
2021-07-23,
2021-07-24,
2021-07-25,
2021-07-26,
2021-07-27,
2021-07-28,
2021-07-29,
2021-07-30,
2021-07-31,
2021-08-01,
2021-08-02,
2021-08-03,
2021-08-04,
2021-08-05,
2021-08-06,
2021-08-07,
2021-08-08,
2021-08-09,
2021-08-10,
2021-08-11,
2021-08-12,0.73119622
2021-08-13,0.77371327
2021-08-14,0.75737073
2021-08-15,0.74551775
2021-08-16,0.7788339
2021-08-17,0.80729475
2021-08-18,0.78406793
2021-08-19,0.78008861
2021-08-20,0.71527225
2021-08-21,0.72336632
2021-08-22,0.7129319
2021-08-23,0.71261247
2021-08-24,0.73897701
2021-08-25,0.73830572
2021-08-26,0.75635926
2021-08-27,0.76927071
2021-08-28,0.76845007
2021-08-29,0.76528241
2021-08-30,0.76016467
2021-08-31,0.7811183
2021-09-01,0.84406184
2021-09-02,0.82500508
2021-09-03,0.79132568
2021-09-04,0.79326506
2021-09-05,0.79291014
2021-09-06,0.73777635
2021-09-07,0.86843354
2021-09-08,0.85777789
2021-09-09,0.86034493
2021-09-10,0.89511324
2021-09-11,0.88337897
2021-09-12,0.84432154
2021-09-13,0.85206115
2021-09-14,0.85986072
2021-09-15,0.85993757
2021-09-16,0.84161521
2021-09-17,0.86117496
2021-09-18,0.84681162
2021-09-19,0.84705369
2021-09-20,0.93215359
2021-09-21,0.96457874
2021-09-22,1.03770937
2021-09-23,1.0317956
2021-09-24,1.05977632
2021-09-25,1.05290116
2021-09-26,1.04797925
2021-09-27,1.05692746
2021-09-28,1.06625451
2021-09-29,1.06783388
2021-09-30,1.06416854
2021-10-01,1.05658177
2021-10-02,1.06131862
2021-10-03,1.05176421
2021-10-04,1.05135359
2021-10-05,1.0586067
2021-10-06,1.06169062
2021-10-07,0.94989259
2021-10-08,0.94833887
2021-10-09,0.9459392
2021-10-10,0.92661944
2021-10-11,0.93276223
2021-10-12,0.92064939
2021-10-13,0.91733028
2021-10-14,0.92402324
2021-10-15,0.90988281
2021-10-16,0.91018391
2021-10-17,0.89273803
2021-10-18,0.89849994
2021-10-19,0.89789086
2021-10-20,0.82100634
2021-10-21,0.77295463
2021-10-22,0.70144423
2021-10-23,0.71023884
2021-10-24,0.65608547
2021-10-25,0.65890842
2021-10-26,0.65860323
2021-10-27,0.66606205
2021-10-28,0.68664948
2021-10-29,0.68877778
2021-10-30,0.68367897
2021-10-31,0.61622794
2021-11-01,0.61361346
2021-11-02,0.63907779
2021-11-03,0.6359152
2021-11-04,0.63294888
2021-11-05,0.6360478
2021-11-06,0.63540781
2021-11-07,0.6351414
2021-11-08,0.64522574
2021-11-09,0.62259099
2021-11-10,0.62642781
2021-11-11,0.62177755
2021-11-12,0.62020804
2021-11-13,0.60496569
2021-11-14,0.60416467
2021-11-15,0.60600485
2021-11-16,0.67073419
2021-11-17,0.66446636
2021-11-18,0.70288936
2021-11-19,0.70468059
2021-11-20,0.70333242
2021-11-21,0.71109497
2021-11-22,0.71184489
2021-11-23,0.74125623
2021-11-24,0.7355893
2021-11-25,0.75363978
2021-11-26,0.83115221
2021-11-27,0.77633199
2021-11-28,0.78624483
2021-11-29,0.79340891
2021-11-30,0.80320451
2021-12-01,0.80402801
2021-12-02,0.77916391
2021-12-03,0.80931872
2021-12-04,0.81164452
2021-12-05,0.81408238
2021-12-06,0.82415199
2021-12-07,0.82062916
2021-12-08,0.81371189
2021-12-09,0.85266831
2021-12-10,0.86606339
2021-12-11,0.88103281
2021-12-12,0.88221549
2021-12-13,0.92853943
2021-12-14,0.93326383
2021-12-15,0.9465858
2021-12-16,0.91114534
2021-12-17,0.91022034
2021-12-18,0.88184435
2021-12-19,0.84365217
2021-12-20,0.83764836
2021-12-21,0.83349643
2021-12-22,0.82039295
2021-12-23,0.79768005
2021-12-24,0.79745459
2021-12-25,0.77437516
2021-12-26,0.67346179
2021-12-27,0.67221022
2021-12-28,0.68127543
2021-12-29,0.67928711
2021-12-30,0.66812769
2021-12-31,0.66813292
2022-01-01,0.6759716
2022-01-02,0.64696727
2022-01-03,0.64427805
2022-01-04,0.64018068
2022-01-05,0.65894531
2022-01-06,0.66769301
2022-01-07,0.67961484
2022-01-08,0.64405845
2022-01-09,0.63433609
2022-01-10,0.60476487
2022-01-11,0.63428577
2022-01-12,0.58730462
2022-01-13,0.59305172
2022-01-14,0.57731007
2022-01-15,0.57746036
2022-01-16,0.57694937
2022-01-17,0.58395054
2022-01-18,0.58469986
2022-01-19,0.58567919
2022-01-20,0.58154777
2022-01-21,0.77040673
2022-01-22,0.76889387
2022-01-23,0.80503275
